OP,SELL,LIMIT,IOC,21.5,1.3311696,1.3385000,FILLED,21.5,21.5,1723973204267,28.6201464
RSR,SELL,LIMIT,IOC,4779,0.004533,0.004623,FILLED,4779,4779,1723973207442,21.663207
1000SATS,SELL,LIMIT,IOC,924549,0.0002753,0.0002791,FILLED,61587,924549,1723973207462,254.52833970000003
RARE,BUY,LIMIT,IOC,16863,0.3023707,0.2964606,FILLED,1816,16863,1723973212102,5098.8771141
SYN,BUY,LIMIT,IOC,47,0.7759566,0.7649000,FILLED,47,47,1723973218293,36.4699602
SYN,BUY,LIMIT,IOC,524,0.7764429,0.7650000,FILLED,468,524,1723973221506,406.85607960000004
1000SATS,SELL,LIMIT,IOC,1960784,0.0002751,0.0002790,FILLED,1960784,1960784,1723973224096,539.4116784
SYN,BUY,LIMIT,IOC,82,0.7765122,0.7650000,FILLED,82,82,1723973226283,63.6740004
RARE,SELL,LIMIT,IOC,1490,0.2901393,0.2948000,FILLED,1490,1490,1723973253429,432.307557
RARE,BUY,LIMIT,IOC,4295,0.3005498,0.2959000,FILLED,4295,4295,1723973268132,1290.861391
TNSR,SELL,LIMIT,IOC,2246.9,0.3665872,0.3721000,FILLED,2195.3,2246.9,1723973275232,823.68477968
RARE,BUY,LIMIT,IOC,3918,0.3006592,0.2960799,FILLED,3131,3918,1723973275405,1177.9827456
AAVE,BUY,LIMIT,IOC,4.3,113.180,111.719,FILLED,1.2,4.3,1723973281609,486.67400000000004
SYN,BUY,LIMIT,IOC,824,0.7733485,0.7621000,FILLED,824,824,1723973285390,637.239164
AAVE,BUY,LIMIT,IOC,11.6,113.529,112.178,FILLED,2.2,11.6,1723973285390,1316.9363999999998
RUNE,SELL,LIMIT,IOC,58,3.9325,3.9910,FILLED,52,58,1723973285390,228.085
1000PEPE,SELL,LIMIT,IOC,12367,0.0074073,0.0074575,FILLED,12367,12367,1723973285390,91.6060791
SOL,SELL,LIMIT,IOC,2,141.9803,142.1500,FILLED,2,2,1723973285390,283.9606
AAVE,BUY,LIMIT,IOC,45.2,113.585,112.215,FILLED,12.5,45.2,1723973286398,5134.042
LISTA,BUY,LIMIT,IOC,1028,0.4404230,0.4340000,FILLED,48,1028,1723973289051,452.754844
RARE,BUY,LIMIT,IOC,821,0.3010782,0.2965000,FILLED,821,821,1723973293077,247.18520220000002
RARE,BUY,LIMIT,IOC,17,0.3012685,0.2967000,FILLED,17,17,1723973295497,5.1215645
TNSR,SELL,LIMIT,IOC,31.7,0.3664870,0.3719000,FILLED,31.7,31.7,1723973297274,11.6176379
SYN,BUY,LIMIT,IOC,141,0.7751098,0.7644907,FILLED,128,141,1723973307246,109.2904818
1000SATS,SELL,LIMIT,IOC,1996216,0.0002750,0.0002788,FILLED,55616,1996216,1723973310285,548.9594000000001
LISTA,BUY,LIMIT,IOC,21,0.4421308,0.4354000,FILLED,21,21,1723973320244,9.2847468
LISTA,BUY,LIMIT,IOC,350,0.4422194,0.4353000,FILLED,79,350,1723973325523,154.77679
BANANA,BUY,LIMIT,IOC,4.4,57.4190412,56.6160000,FILLED,4.4,4.4,1723973326285,252.64378128000004
RUNE,SELL,LIMIT,IOC,12,3.9260,3.9790,FILLED,12,12,1723973338507,47.112
1000SATS,SELL,LIMIT,IOC,2665021,0.0002746,0.0002781,FILLED,1216587,2665021,1723973339048,731.8147666
BANANA,BUY,LIMIT,IOC,3.9,57.5200482,56.6700000,FILLED,3.9,3.9,1723973339409,224.32818798
RARE,BUY,LIMIT,IOC,188,0.3012614,0.2965000,FILLED,188,188,1723973344120,56.637143200000004
RARE,BUY,LIMIT,IOC,151,0.3015660,0.2964000,FILLED,151,151,1723973346365,45.536466
SYN,BUY,LIMIT,IOC,606,0.7769136,0.7654000,FILLED,606,606,1723973346454,470.80964159999996
TNSR,SELL,LIMIT,IOC,7801.1,0.3649758,0.3704684,FILLED,640.5,7801.1,1723973348132,2847.2127133800004
SYN,BUY,LIMIT,IOC,12162,0.7801824,0.7667131,FILLED,224,12162,1723973348231,9488.578348800002
SYN,BUY,LIMIT,IOC,66,0.7795200,0.7685000,FILLED,66,66,1723973349477,51.44832
RARE,BUY,LIMIT,IOC,87,0.3015187,0.2963000,FILLED,87,87,1723973349477,26.232126899999997
SYN,BUY,LIMIT,IOC,1759,0.7800152,0.7703400,FILLED,704,1759,1723973350592,1372.0467368
RARE,BUY,LIMIT,IOC,137,0.3017323,0.2958000,FILLED,137,137,1723973351211,41.3373251
BANANA,BUY,LIMIT,IOC,1.2,57.5321759,56.7120000,FILLED,1.2,1.2,1723973351211,69.03861108
SYN,BUY,LIMIT,IOC,114,0.7823596,0.7715000,FILLED,114,114,1723973352056,89.1889944
RARE,BUY,LIMIT,IOC,5772,0.3020743,0.2967000,FILLED,5672,5772,1723973357044,1743.5728596000001
RARE,BUY,LIMIT,IOC,5072,0.3025990,0.2967645,FILLED,1075,5072,1723973358087,1534.782128
RARE,BUY,LIMIT,IOC,580,0.3027041,0.2967000,FILLED,580,580,1723973359180,175.568378
RARE,BUY,LIMIT,IOC,310,0.3027080,0.2967000,FILLED,310,310,1723973363554,93.83948
RARE,BUY,LIMIT,IOC,4289,0.3027797,0.2967000,FILLED,1381,4289,1723973365057,1298.6221332999999
